,IWM.Open,IWM.High,IWM.Low,IWM.Close,IWM.Volume,IWM.hasGaps
10/30/2019 10:10,155.86,155.86,155.82,155.84,49,0
10/30/2019 10:11,155.84,155.88,155.84,155.88,48,0
10/30/2019 10:12,155.9,155.9,155.87,155.87,98,0
10/30/2019 10:13,155.89,155.9,155.84,155.86,151,0
10/30/2019 10:14,155.85,155.86,155.8,155.81,128,0
10/30/2019 10:15,155.8,155.82,155.78,155.81,186,0
10/30/2019 10:16,155.81,155.81,155.75,155.77,66,0
10/30/2019 10:17,155.78,155.82,155.76,155.82,106,0
10/30/2019 10:18,155.82,155.83,155.78,155.78,55,0
10/30/2019 10:19,155.78,155.8,155.74,155.74,111,0
10/30/2019 10:20,155.74,155.74,155.6,155.62,303,0
10/30/2019 10:21,155.61,155.61,155.55,155.55,320,0
10/30/2019 10:22,155.55,155.57,155.53,155.53,102,0
10/30/2019 10:23,155.53,155.57,155.51,155.56,199,0
10/30/2019 10:24,155.53,155.58,155.52,155.53,185,0
10/30/2019 10:25,155.53,155.53,155.45,155.48,146,0
10/30/2019 10:26,155.47,155.52,155.45,155.5,280,0
10/30/2019 10:27,155.5,155.52,155.46,155.47,57,0
10/30/2019 10:28,155.46,155.56,155.46,155.56,818,0
10/30/2019 10:29,155.55,155.58,155.53,155.58,442,0
10/30/2019 10:30,155.58,155.58,155.53,155.56,367,0
10/30/2019 10:31,155.56,155.58,155.48,155.5,266,0
10/30/2019 10:32,155.5,155.53,155.48,155.52,183,0
10/30/2019 10:33,155.47,155.51,155.43,155.44,295,0
10/30/2019 10:34,155.44,155.49,155.44,155.46,54,0
10/30/2019 10:35,155.46,155.54,155.46,155.54,93,0
10/30/2019 10:36,155.54,155.57,155.54,155.56,380,0
10/30/2019 10:37,155.56,155.6,155.56,155.58,208,0
10/30/2019 10:38,155.58,155.59,155.55,155.56,72,0
10/30/2019 10:39,155.55,155.55,155.49,155.51,361,0
10/30/2019 10:40,155.51,155.52,155.45,155.46,267,0
10/30/2019 10:41,155.47,155.48,155.45,155.47,77,0
10/30/2019 10:42,155.47,155.48,155.43,155.46,229,0
10/30/2019 10:43,155.45,155.48,155.38,155.38,164,0
10/30/2019 10:44,155.39,155.4,155.36,155.38,206,0
10/30/2019 10:45,155.37,155.39,155.35,155.38,151,0
10/30/2019 10:46,155.37,155.39,155.35,155.39,101,0
10/30/2019 10:47,155.39,155.42,155.38,155.42,103,0
10/30/2019 10:48,155.42,155.46,155.4,155.43,57,0
10/30/2019 10:49,155.43,155.47,155.43,155.47,50,0
10/30/2019 10:50,155.46,155.5,155.45,155.5,56,0
10/30/2019 10:51,155.5,155.54,155.49,155.53,423,0
10/30/2019 10:52,155.53,155.53,155.45,155.47,129,0
10/30/2019 10:53,155.46,155.47,155.42,155.44,81,0
10/30/2019 10:54,155.44,155.48,155.42,155.48,61,0
10/30/2019 10:55,155.48,155.5,155.47,155.48,59,0
10/30/2019 10:56,155.47,155.47,155.45,155.46,54,0
10/30/2019 10:57,155.43,155.45,155.41,155.42,146,0
10/30/2019 10:58,155.42,155.46,155.41,155.46,70,0
10/30/2019 10:59,155.44,155.46,155.42,155.46,54,0
10/30/2019 11:00,155.46,155.58,155.46,155.57,174,0
10/30/2019 11:01,155.56,155.57,155.53,155.54,47,0
10/30/2019 11:02,155.56,155.6,155.51,155.53,156,0
10/30/2019 11:03,155.53,155.53,155.49,155.53,78,0
10/30/2019 11:04,155.53,155.56,155.5,155.56,94,0
10/30/2019 11:05,155.56,155.63,155.56,155.62,131,0
10/30/2019 11:06,155.62,155.63,155.61,155.63,89,0
10/30/2019 11:07,155.64,155.72,155.64,155.71,654,0
10/30/2019 11:08,155.71,155.82,155.7,155.79,226,0
10/30/2019 11:09,155.79,155.79,155.72,155.79,837,0
10/30/2019 11:10,155.8,155.82,155.77,155.81,154,0
10/30/2019 11:11,155.81,155.82,155.77,155.77,133,0
10/30/2019 11:12,155.77,155.81,155.77,155.8,166,0
10/30/2019 11:13,155.79,155.8,155.77,155.79,303,0
10/30/2019 11:14,155.79,155.79,155.75,155.75,175,0
10/30/2019 11:15,155.75,155.76,155.71,155.72,259,0
10/30/2019 11:16,155.72,155.72,155.67,155.68,106,0
10/30/2019 11:17,155.67,155.67,155.65,155.66,60,0
10/30/2019 11:18,155.65,155.68,155.65,155.66,78,0
10/30/2019 11:19,155.66,155.67,155.62,155.62,122,0
10/30/2019 11:20,155.62,155.62,155.58,155.59,96,0
10/30/2019 11:21,155.59,155.61,155.58,155.6,62,0
10/30/2019 11:22,155.59,155.6,155.56,155.6,137,0
10/30/2019 11:23,155.6,155.61,155.58,155.59,72,0
10/30/2019 11:24,155.58,155.63,155.58,155.62,58,0
10/30/2019 11:25,155.62,155.65,155.61,155.61,44,0
10/30/2019 11:26,155.6,155.61,155.55,155.56,69,0
10/30/2019 11:27,155.59,155.72,155.58,155.71,187,0
10/30/2019 11:28,155.71,155.78,155.71,155.75,175,0
10/30/2019 11:29,155.76,155.78,155.75,155.78,173,0
10/30/2019 11:30,155.78,155.82,155.78,155.8,83,0
10/30/2019 11:31,155.81,155.92,155.8,155.92,865,0
10/30/2019 11:32,155.91,155.91,155.87,155.89,458,0
10/30/2019 11:33,155.89,155.89,155.78,155.79,235,0
10/30/2019 11:34,155.79,155.81,155.78,155.78,203,0
10/30/2019 11:35,155.78,155.79,155.73,155.74,100,0
10/30/2019 11:36,155.73,155.75,155.72,155.73,117,0
10/30/2019 11:37,155.74,155.77,155.73,155.76,65,0
10/30/2019 11:38,155.76,155.77,155.74,155.76,43,0
10/30/2019 11:39,155.77,155.8,155.77,155.78,47,0
10/30/2019 11:40,155.79,155.81,155.77,155.81,14,0
10/30/2019 11:41,155.8,155.82,155.77,155.82,63,0
10/30/2019 11:42,155.83,155.85,155.81,155.81,51,0
10/30/2019 11:43,155.81,155.83,155.78,155.82,53,0
10/30/2019 11:44,155.81,155.86,155.81,155.84,126,0
10/30/2019 11:45,155.85,155.86,155.84,155.85,133,0
10/30/2019 11:46,155.86,155.86,155.83,155.83,77,0
10/30/2019 11:47,155.84,155.84,155.8,155.8,110,0
10/30/2019 11:48,155.81,155.81,155.77,155.78,102,0
10/30/2019 11:49,155.78,155.8,155.77,155.77,36,0
10/30/2019 11:50,155.78,155.82,155.77,155.82,87,0
10/30/2019 11:51,155.81,155.84,155.81,155.83,70,0
10/30/2019 11:52,155.82,155.84,155.79,155.84,94,0
10/30/2019 11:53,155.84,155.89,155.84,155.89,91,0
10/30/2019 11:54,155.88,155.88,155.83,155.83,85,0
10/30/2019 11:55,155.82,155.85,155.81,155.82,68,0
10/30/2019 11:56,155.83,155.87,155.83,155.87,18,0
10/30/2019 11:57,155.88,155.92,155.88,155.92,30,0
10/30/2019 11:58,155.92,155.94,155.89,155.91,37,0
10/30/2019 11:59,155.9,155.92,155.85,155.88,89,0
10/30/2019 12:00,155.89,155.9,155.87,155.9,182,0
10/30/2019 12:01,155.88,155.93,155.86,155.93,103,0
10/30/2019 12:02,155.92,155.97,155.92,155.97,125,0
10/30/2019 12:03,155.97,155.99,155.96,155.99,152,0
10/30/2019 12:04,155.98,155.98,155.94,155.96,88,0
10/30/2019 12:05,155.95,155.97,155.88,155.89,204,0
10/30/2019 12:06,155.89,155.9,155.84,155.85,292,0
10/30/2019 12:07,155.86,155.88,155.84,155.84,62,0
10/30/2019 12:08,155.86,155.86,155.79,155.79,119,0
10/30/2019 12:09,155.79,155.8,155.78,155.78,36,0
10/30/2019 12:10,155.79,155.79,155.74,155.77,82,0
10/30/2019 12:11,155.77,155.78,155.75,155.76,59,0
10/30/2019 12:12,155.76,155.76,155.74,155.75,51,0
10/30/2019 12:13,155.76,155.79,155.76,155.76,92,0
10/30/2019 12:14,155.76,155.76,155.74,155.74,23,0
10/30/2019 12:15,155.74,155.74,155.71,155.71,82,0
10/30/2019 12:16,155.72,155.73,155.71,155.72,22,0
10/30/2019 12:17,155.72,155.72,155.68,155.69,197,0
10/30/2019 12:18,155.69,155.73,155.69,155.73,58,0
10/30/2019 12:19,155.72,155.73,155.7,155.71,90,0
10/30/2019 12:20,155.72,155.75,155.72,155.75,45,0
10/30/2019 12:21,155.75,155.77,155.73,155.73,69,0
10/30/2019 12:22,155.73,155.74,155.72,155.74,14,0
10/30/2019 12:23,155.75,155.8,155.75,155.8,79,0
10/30/2019 12:24,155.79,155.79,155.74,155.75,25,0
10/30/2019 12:25,155.75,155.76,155.72,155.74,31,0
10/30/2019 12:26,155.74,155.74,155.66,155.67,49,0
10/30/2019 12:27,155.66,155.69,155.64,155.68,39,0
10/30/2019 12:28,155.68,155.7,155.67,155.68,40,0
10/30/2019 12:29,155.68,155.68,155.66,155.67,42,0
10/30/2019 12:30,155.67,155.69,155.64,155.68,32,0
10/30/2019 12:31,155.69,155.72,155.69,155.7,40,0
10/30/2019 12:32,155.7,155.71,155.66,155.66,142,0
10/30/2019 12:33,155.67,155.68,155.64,155.65,61,0
10/30/2019 12:34,155.66,155.76,155.66,155.76,118,0
10/30/2019 12:35,155.77,155.77,155.75,155.76,31,0
10/30/2019 12:36,155.76,155.76,155.7,155.7,181,0
10/30/2019 12:37,155.7,155.77,155.7,155.75,36,0
10/30/2019 12:38,155.76,155.77,155.75,155.76,70,0
10/30/2019 12:39,155.75,155.76,155.72,155.72,268,0
10/30/2019 12:40,155.73,155.73,155.69,155.69,43,0
10/30/2019 12:41,155.69,155.73,155.69,155.73,31,0
10/30/2019 12:42,155.73,155.74,155.69,155.69,63,0
10/30/2019 12:43,155.69,155.69,155.66,155.66,56,0
10/30/2019 12:44,155.68,155.71,155.68,155.7,55,0
10/30/2019 12:45,155.71,155.72,155.67,155.72,155,0
10/30/2019 12:46,155.71,155.71,155.67,155.67,70,0
10/30/2019 12:47,155.67,155.85,155.65,155.69,2159,0
10/30/2019 12:48,155.69,155.7,155.64,155.69,329,0
10/30/2019 12:49,155.7,155.74,155.67,155.73,367,0
10/30/2019 12:50,155.72,155.74,155.71,155.73,212,0
10/30/2019 12:51,155.73,155.76,155.72,155.73,253,0
10/30/2019 12:52,155.73,155.74,155.7,155.72,224,0
10/30/2019 12:53,155.73,155.73,155.7,155.7,45,0
10/30/2019 12:54,155.71,155.78,155.71,155.78,60,0
10/30/2019 12:55,155.77,155.77,155.64,155.69,644,0
10/30/2019 12:56,155.71,155.76,155.71,155.74,94,0
10/30/2019 12:57,155.74,155.75,155.73,155.74,116,0
10/30/2019 12:58,155.73,155.79,155.73,155.79,121,0
10/30/2019 12:59,155.79,155.8,155.53,155.67,340,0
10/30/2019 13:00,155.59,155.75,155.47,155.6,209,0
10/30/2019 13:01,155.59,155.93,155.59,155.89,366,0
10/30/2019 13:02,155.88,155.88,155.74,155.77,196,0
10/30/2019 13:03,155.79,155.84,155.72,155.83,127,0
10/30/2019 13:04,155.79,155.85,155.74,155.85,224,0
10/30/2019 13:05,155.85,155.85,155.74,155.76,336,0
10/30/2019 13:06,155.72,155.74,155.64,155.65,168,0
10/30/2019 13:07,155.64,155.7,155.6,155.65,243,0
10/30/2019 13:08,155.66,155.75,155.66,155.71,375,0
10/30/2019 13:09,155.71,155.75,155.71,155.73,195,0
10/30/2019 13:10,155.75,155.89,155.74,155.89,168,0
10/30/2019 13:11,155.88,155.93,155.82,155.84,289,0
10/30/2019 13:12,155.82,155.89,155.82,155.88,128,0
10/30/2019 13:13,155.88,155.92,155.88,155.92,96,0
10/30/2019 13:14,155.93,155.96,155.91,155.96,77,0
10/30/2019 13:15,155.96,156.12,155.96,156.12,836,0
10/30/2019 13:16,156.11,156.18,156.07,156.17,722,0
10/30/2019 13:17,156.17,156.19,156.1,156.1,170,0
10/30/2019 13:18,156.1,156.11,155.98,155.98,241,0
10/30/2019 13:19,155.98,156.01,155.97,155.97,150,0
10/30/2019 13:20,155.99,156.02,155.96,156.02,172,0
10/30/2019 13:21,156.03,156.05,156.02,156.04,211,0
10/30/2019 13:22,156.04,156.07,156.04,156.05,78,0
10/30/2019 13:23,156.06,156.07,155.98,155.98,145,0
10/30/2019 13:24,156,156.03,155.98,156,269,0
10/30/2019 13:25,156,156.02,155.97,155.97,112,0
10/30/2019 13:26,155.96,155.96,155.92,155.94,104,0
10/30/2019 13:27,155.94,155.98,155.94,155.97,162,0
10/30/2019 13:28,155.97,156.01,155.96,156.01,61,0
10/30/2019 13:29,156.02,156.02,155.97,155.97,284,0
10/30/2019 13:30,155.98,156.06,155.97,156.05,440,0
10/30/2019 13:31,156.05,156.05,155.89,155.97,446,0
10/30/2019 13:32,155.98,156.05,155.96,156.01,342,0
10/30/2019 13:33,156.01,156.02,155.86,155.89,894,0
10/30/2019 13:34,155.89,155.9,155.76,155.77,405,0
10/30/2019 13:35,155.77,155.96,155.77,155.91,316,0
10/30/2019 13:36,155.91,155.92,155.83,155.89,120,0
10/30/2019 13:37,155.88,155.92,155.85,155.91,56,0
10/30/2019 13:38,155.9,155.97,155.85,155.88,270,0
10/30/2019 13:39,155.86,155.87,155.79,155.85,890,0
10/30/2019 13:40,155.85,155.9,155.81,155.88,203,0
10/30/2019 13:41,155.88,155.91,155.81,155.85,312,0
10/30/2019 13:42,155.85,155.86,155.81,155.82,109,0
10/30/2019 13:43,155.82,155.89,155.81,155.87,110,0
10/30/2019 13:44,155.88,155.99,155.88,155.97,134,0
10/30/2019 13:45,155.96,156.04,155.94,156.03,481,0
10/30/2019 13:46,156.03,156.09,156,156.02,288,0
10/30/2019 13:47,156.03,156.04,155.97,156.02,79,0
10/30/2019 13:48,156.02,156.07,156.02,156.04,113,0
10/30/2019 13:49,156.05,156.06,156.02,156.04,58,0
10/30/2019 13:50,156.07,156.18,156.07,156.14,454,0
10/30/2019 13:51,156.13,156.3,156.13,156.29,364,0
10/30/2019 13:52,156.31,156.34,156.22,156.22,710,0
10/30/2019 13:53,156.23,156.3,156.22,156.29,324,0
10/30/2019 13:54,156.29,156.34,156.29,156.3,1195,0
10/30/2019 13:55,156.29,156.44,156.29,156.44,738,0
10/30/2019 13:56,156.44,156.47,156.37,156.39,731,0
10/30/2019 13:57,156.39,156.45,156.39,156.41,271,0
10/30/2019 13:58,156.42,156.44,156.31,156.33,212,0
10/30/2019 13:59,156.33,156.4,156.31,156.4,548,0
10/30/2019 14:00,156.39,156.46,156.39,156.4,487,0
10/30/2019 14:01,156.4,156.41,156.36,156.37,513,0
10/30/2019 14:02,156.37,156.4,156.36,156.38,260,0
10/30/2019 14:03,156.38,156.45,156.37,156.41,341,0
10/30/2019 14:04,156.42,156.42,156.36,156.4,544,0
10/30/2019 14:05,156.4,156.41,156.37,156.4,125,0
10/30/2019 14:06,156.4,156.42,156.39,156.39,219,0
10/30/2019 14:07,156.4,156.45,156.35,156.44,356,0
10/30/2019 14:08,156.43,156.45,156.35,156.39,454,0
10/30/2019 14:09,156.37,156.41,156.36,156.36,86,0
10/30/2019 14:10,156.35,156.4,156.35,156.39,190,0
10/30/2019 14:11,156.4,156.43,156.39,156.42,374,0
10/30/2019 14:12,156.43,156.43,156.35,156.39,216,0
10/30/2019 14:13,156.38,156.41,156.31,156.33,315,0
10/30/2019 14:14,156.33,156.35,156.3,156.31,112,0
10/30/2019 14:15,156.32,156.35,156.32,156.35,112,0
10/30/2019 14:16,156.35,156.39,156.35,156.38,163,0
10/30/2019 14:17,156.38,156.41,156.36,156.37,167,0
10/30/2019 14:18,156.37,156.39,156.35,156.36,167,0
10/30/2019 14:19,156.36,156.4,156.34,156.4,220,0
10/30/2019 14:20,156.4,156.45,156.39,156.42,517,0
10/30/2019 14:21,156.42,156.46,156.41,156.45,659,0
10/30/2019 14:22,156.45,156.49,156.44,156.49,587,0
10/30/2019 14:23,156.49,156.6,156.49,156.6,814,0
10/30/2019 14:24,156.6,156.69,156.58,156.63,1286,0
10/30/2019 14:25,156.63,156.65,156.54,156.54,675,0
10/30/2019 14:26,156.54,156.55,156.48,156.49,508,0
10/30/2019 14:27,156.47,156.53,156.46,156.5,228,0
10/30/2019 14:28,156.52,156.53,156.47,156.49,170,0
10/30/2019 14:29,156.48,156.5,156.45,156.46,210,0
10/30/2019 14:30,156.46,156.51,156.45,156.5,260,0
10/30/2019 14:31,156.49,156.49,156.4,156.43,132,0
10/30/2019 14:32,156.43,156.53,156.43,156.51,332,0
10/30/2019 14:33,156.52,156.53,156.49,156.5,424,0
10/30/2019 14:34,156.5,156.5,156.41,156.42,233,0
10/30/2019 14:35,156.41,156.45,156.38,156.4,207,0
10/30/2019 14:36,156.39,156.43,156.34,156.35,231,0
10/30/2019 14:37,156.35,156.37,156.33,156.36,152,0
10/30/2019 14:38,156.36,156.38,156.33,156.37,165,0
10/30/2019 14:39,156.37,156.37,156.32,156.32,141,0
10/30/2019 14:40,156.33,156.36,156.31,156.34,133,0
10/30/2019 14:41,156.35,156.36,156.32,156.34,183,0
10/30/2019 14:42,156.35,156.4,156.34,156.39,430,0
10/30/2019 14:43,156.39,156.42,156.36,156.41,445,0
10/30/2019 14:44,156.42,156.44,156.41,156.43,346,0
10/30/2019 14:45,156.43,156.43,156.35,156.39,1314,0
10/30/2019 14:46,156.4,156.44,156.39,156.41,841,0
10/30/2019 14:47,156.42,156.43,156.36,156.37,439,0
10/30/2019 14:48,156.37,156.4,156.34,156.39,465,0
10/30/2019 14:49,156.37,156.4,156.33,156.36,314,0
10/30/2019 14:50,156.37,156.46,156.37,156.46,825,0
10/30/2019 14:51,156.45,156.48,156.42,156.43,360,0
10/30/2019 14:52,156.42,156.47,156.41,156.45,577,0
10/30/2019 14:53,156.45,156.48,156.45,156.47,597,0
10/30/2019 14:54,156.48,156.52,156.47,156.48,831,0
10/30/2019 14:55,156.49,156.52,156.45,156.51,1112,0
10/30/2019 14:56,156.51,156.53,156.48,156.48,678,0
10/30/2019 14:57,156.48,156.48,156.32,156.34,558,0
10/30/2019 14:58,156.34,156.39,156.32,156.35,1087,0
10/30/2019 14:59,156.36,156.41,156.32,156.33,2688,0
10/31/2019 8:30,156.1,156.1,155.78,155.78,1207,0
10/31/2019 8:31,155.77,155.78,155.45,155.53,1988,0
10/31/2019 8:32,155.51,155.77,155.5,155.66,1602,0
10/31/2019 8:33,155.65,155.94,155.64,155.9,853,0
10/31/2019 8:34,155.87,156,155.84,155.95,784,0
10/31/2019 8:35,155.96,155.99,155.72,155.72,1047,0
10/31/2019 8:36,155.73,155.92,155.73,155.85,448,0
10/31/2019 8:37,155.83,155.96,155.74,155.95,280,0
10/31/2019 8:38,155.95,155.95,155.83,155.83,86,0
10/31/2019 8:39,155.84,155.87,155.72,155.79,287,0
10/31/2019 8:40,155.77,155.89,155.76,155.88,426,0
10/31/2019 8:41,155.89,155.93,155.87,155.92,502,0
10/31/2019 8:42,155.91,155.91,155.79,155.81,593,0
10/31/2019 8:43,155.81,155.82,155.67,155.67,415,0
10/31/2019 8:44,155.67,155.68,155.61,155.64,229,0
10/31/2019 8:45,155.64,155.66,155.53,155.64,503,0
10/31/2019 8:46,155.64,155.74,155.62,155.72,428,0
10/31/2019 8:47,155.7,155.77,155.62,155.66,325,0
10/31/2019 8:48,155.67,155.69,155.48,155.5,739,0
10/31/2019 8:49,155.49,155.5,155.25,155.26,845,0
10/31/2019 8:50,155.26,155.28,155.11,155.14,1095,0
10/31/2019 8:51,155.12,155.21,155.12,155.18,567,0
10/31/2019 8:52,155.17,155.25,155.16,155.24,895,0
10/31/2019 8:53,155.25,155.39,155.25,155.38,480,0
10/31/2019 8:54,155.37,155.4,155.31,155.32,702,0
10/31/2019 8:55,155.32,155.39,155.28,155.37,620,0
10/31/2019 8:56,155.37,155.41,155.34,155.35,263,0
10/31/2019 8:57,155.35,155.39,155.32,155.34,512,0
10/31/2019 8:58,155.35,155.39,155.34,155.37,110,0
10/31/2019 8:59,155.37,155.4,155.34,155.37,126,0
10/31/2019 9:00,155.35,155.35,155.19,155.19,679,0
10/31/2019 9:01,155.18,155.21,155.14,155.17,271,0
10/31/2019 9:02,155.16,155.22,155.12,155.19,635,0
10/31/2019 9:03,155.18,155.19,155.16,155.19,162,0
10/31/2019 9:04,155.19,155.19,155.11,155.14,232,0
10/31/2019 9:05,155.15,155.18,155.1,155.11,253,0
10/31/2019 9:06,155.11,155.23,155.1,155.18,820,0
10/31/2019 9:07,155.17,155.18,155.08,155.15,979,0
10/31/2019 9:08,155.14,155.14,155.1,155.12,320,0
10/31/2019 9:09,155.11,155.18,155.05,155.11,689,0
10/31/2019 9:10,155.11,155.11,155.03,155.11,139,0
10/31/2019 9:11,155.1,155.11,154.93,154.95,464,0
10/31/2019 9:12,154.94,154.98,154.88,154.92,497,0
10/31/2019 9:13,154.92,154.92,154.84,154.85,360,0
10/31/2019 9:14,154.85,154.93,154.84,154.84,111,0
10/31/2019 9:15,154.84,154.87,154.77,154.83,358,0
10/31/2019 9:16,154.83,154.85,154.75,154.79,667,0
10/31/2019 9:17,154.79,154.88,154.78,154.84,552,0
10/31/2019 9:18,154.84,154.85,154.75,154.8,362,0
10/31/2019 9:19,154.76,154.8,154.75,154.79,223,0
10/31/2019 9:20,154.78,154.79,154.67,154.68,1009,0
10/31/2019 9:21,154.68,154.73,154.64,154.68,1273,0
10/31/2019 9:22,154.67,154.68,154.53,154.53,532,0
10/31/2019 9:23,154.53,154.53,154.36,154.37,1521,0
10/31/2019 9:24,154.36,154.4,154.27,154.33,475,0
10/31/2019 9:25,154.34,154.49,154.34,154.43,862,0
10/31/2019 9:26,154.44,154.48,154.41,154.48,547,0
10/31/2019 9:27,154.48,154.57,154.47,154.55,435,0
